ID,reviewed,tracker items,label,alternative term,FGED alternative term,IEDB alternative term,ISA alternative term,NIAID GSCID-BRC alternative term,definition,definition source,example of usage,editor note,curator note,term editor,has curation status,logical type,equivalent classes,parent classes,main processes (has_part)  order process using preceded by,evaluant (realizes some ('evaluant role' and (' role of' some X))),evaluant (realizes some ('evaluant role' and ('inheres in' some X))),evaluant (X and ('has role' some 'evaluant role')),analyte (realizes some ('analyte role' and ('role of' some X),analyte (realizes some ('analyte role' and ('inheres in' some X),device,input (has_specified_input),main input,outputs X   (has_specified_output some X),outputs Y   (some X and (is_about Y)),objective,comment,associated axioms
ID,,,A rdfs:label,A alternative term SPLIT=|,A FGED alternative term SPLIT=|,A IEDB alternative term SPLIT=|,A ISA alternative term SPLIT=|,A NIAID GSCID-BRC alternative term SPLIT=|,A definition SPLIT=|,A definition source SPLIT=|,A example of usage SPLIT=|,A editor note SPLIT=|,A curator note SPLIT=|,A term editor SPLIT=|,AL has curation status,CLASS_TYPE,C %,C %,C has_part some %,C (has_specified_input some %) and (realizes some ('evaluant role' and ('inheres in' some %))),C (has_specified_input some %) and (realizes some ('evaluant role' and ('inheres in' some %))),C (has_specified_input some %) and (realizes some ('evaluant role' and ('inheres in' some %))),C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %))),C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %))),C (has_specified_input some %) and (realizes some (function and ('inheres in' some %))),C has_specified_input some %,C has_specified_input some %,C has_specified_output some %,C has_specified_output some %,C achieves_planned_objective some %,,C %
OBI:0000117,FALSE,,Bernoulli trial,,,,,,is an assay where the output data is a datum with one of two values denoted success and failure.,OBI branch derived,,,,PlanAndPlannedProcess Branch,pending final vetting,subclass,,assay,,,,,,,,,,,,,,
OBI:0000185,FALSE,,imaging assay,,,,,,An imaging assay is an assay to produce a picture of an entity. definition_source: OBI.,OBI branch derived,,,,PlanAndPlannedProcess Branch,pending final vetting,subclass,,assay,,,,,,,,,,image,,,,
OBI:0000288,FALSE,,protein-protein interaction detection,,,,,,"An assay with the objective to determine interactions between proteins, such as protein-protein binding.",,,"20091101, Bjoern Peters: This class may be overly broad. Lot's of assays would seem to classify under it, and I have the feeling that the intend would be to limit this to determining protein-protein interactions as they occur within an organism, rather than e.g. peptide:MHC binding assays.",,,metadata incomplete,subclass,,assay,,,,,,,,,,,,,,
OBI:0000291,FALSE,,transcription factor binding site assay,TF binding,,,,,An assay with objective to find DNA region specifically recognized by proteins that function as transcription factors,OBI,"Transcription factor binding site identification in yeast: a comparison of high-density oligonucleotide and PCR-based microarray platforms.
Funct Integr Genomics. 2007 Oct;7(4):335-45. Epub 2007 Jul 19. PMID: 17638031","JZ: fixed inconsistency issue and relabel the term
see tracker: https://sourceforge.net/p/obi/obi-terms/767/|JZ: add equivalent axiom for classification
add alternative term 'TF binding' which was used in BCBC database",,Philippe Rocca-Serra,metadata complete,subclass,assay and (has_specified_output some ('information content entity' and ('is about' some 'transcription factor binding site'))),binding assay,,,,,,,,,,measurement datum  information content entity,sequence specific DNA binding  transcription factor binding site,,,
OBI:0000366,FALSE,,metabolite profiling,metabolite assay,,,,,metabolite profiling is a process which aims at detecting and identifying chemical entities resulting from biochemical and cellular metabolism,OBI,Metabolite profiling of human colon carcinoma - deregulation of TCA cycle and amino acid turnover. Mol Cancer. 2008 Sep 18;7(1):72. PMID: 18799019,,,Philippe Rocca-Serra,metadata complete,subclass,,assay,,,,,,,,specimen,specimen,measurement datum,,,,
OBI:0000418,FALSE,,measuring glucose concentration in blood serum,,,,,,An assay that determines the concentration of glucose molecules in a blood serum sample,,,,,Person:Bjoern Peters,metadata incomplete,subclass,,analyte assay,,blood serum specimen,,,glucose,,,,,,,,,
OBI:0000424,FALSE,,transcription profiling assay,gene expression profiling,,,transcription profiling,,"An assay which aims to provide information about gene expression and transcription activity using ribonucleic acids collected from a material entity using a range of techniques and instrument such as DNA sequencers, DNA microarrays, Northern Blot",OBI,Whole genome transcription profiling of Anaplasma phagocytophilum in human and tick host cells by tiling array analysis. BMC Genomics. 2008 Jul 31;9:364. PMID: 18671858,,,Philippe Rocca-Serra,metadata complete,subclass,assay and (achieves_planned_objective some 'transcription profiling identification objective'),analyte assay,,,,,ribonucleic acid,,,specimen and ('has part' some 'ribonucleic acid'),RNA,measurement datum,gene expression,transcription profiling identification objective,,
OBI:0000433,FALSE,,DNA sequence feature detection,,,,,,An assay with the objective to determine a sequence feature of DNA,OBI,genotyping using an Affymetrix chip,should be a defined class where interpretation of data generated by assay qualifies a DNA sequence,,Philippe Rocca-Serra|Person:Bjoern Peters,metadata incomplete,subclass,,assay,,,,,,,,deoxyribonucleic acid,DNA,measurement datum,,sequence feature identification objective,,
OBI:0000435,FALSE,,genotyping assay,"genotype profiling, SNP genotyping",,,SNP analysis,,an assay which generates data about a genotype from a specimen of genomic DNA. A variety of techniques and instruments can be used to produce information about sequence variation at particular genomic positions.,OBI Biomaterial,High-throughput genotyping of oncogenic human papilloma viruses with MALDI-TOF mass spectrometry. Clin Chem. 2008 Jan;54(1):86-92. Epub 2007 Nov 2.PMID: 17981923,,,Philippe Rocca-Serra,metadata complete,subclass,has_specified_output some 'genotype information',analyte assay,,,,,deoxyribonucleic acid,,,specimen and ('has part' some deoxyribonucleic acid),DNA,genotype information,,sequence feature identification objective,,
OBI:0000438,FALSE,,DNA sequence variation detection,,,,,,"DNA sequence variation detection is a process which aims at finding changes (expansion, amplification, deletion, mutation) in sequence of DNA molecule.",OBI Biomaterial,Capturing genomic signatures of DNA sequence variation using a standard anonymous microarray platform. Nucleic Acids Res. 2006;34(18):e121. PMID: 17000641,,,Philippe Rocca-Serra,ready for release,subclass,,assay,,,,,,,,deoxyribonucleic acid,DNA,measurement datum,,sequence feature identification objective,,
OBI:0000443,FALSE,,analyte assay,,,,,,"An assay with the objective to capture information about the presence, concentration, or amount of an analyte in an evaluant.","PERSON:Bjoern Peters
PERSON:Helen Parkinson
PERSON:Philippe Rocca-Serra
PERSON:Alan Ruttenberg
GROUP:OBI Planned process branch","example of usage: In lab test for blood glucose, the test is the assay, the blood bears evaluant_role and glucose bears the analyte role. The evaluant is considered an input to the assay and the information entity that records the measurement of glucose concentration the output","logical def modified to remove expression below, as some analyte assays report below the level of detection, and therefore not a scalar measurement datum, replaced by measurement datum

and 
('has measurement unit label' some 'measurement unit label') and 
('is quality measurement of' some 'molecular concentration'))|2013-09-23: simplify equivalent axiom|Note: is_realization of some analyte role isn't always true, for example when there is none of the analyte in the evaluant. For the moment we are writing it this way, but when the information ontology is further worked out this will be replaced with a condition discussing the measurement.",,"PERSON:Bjoern Peters, Helen Parkinson, Philippe Rocca-Serra, Alan Ruttenberg",ready for release,subclass,achieves_planned_objective some 'analyte measurement objective',assay,,,,,,,,,,measurement datum,,,,
OBI:0000445,FALSE,,mass measurement assay,,,,,,a process to determine the mass of an evaluant,OBI,The patients was weighed and mass was determined to be 47 kilograms,,,Helen Parkinson,metadata complete,subclass,,assay,,material entity,,material entity,,,,material entity,material entity,mass measurement datum,,,,
OBI:0000447,FALSE,,intra cellular electrophysiology recording,,,,,,An intracellular electrophysiology recording is a process where the recording location of the electrode is intracellular,PERSON: Frank Gibson,,,,PERSON: Frank Gibson,metadata incomplete,subclass,,assay,,,,,,,,,,mass measurement datum,ion channel activity,,,
OBI:0000454,FALSE,,extracellular electrophysiology recording,,,,,,An extracellular electrophysiology recording is process where the recording location of the electrode is extracellular and data,PERSON: Frank Gibson,"The recording of a spike train in the caudate nucleus of a monkey where the electrodes are extra cellular, i.e. not in the neuron",,,"PERSON: Frank Gibson, Helen Parkinson",metadata complete,subclass,,assay,,,,,,,,,,mass measurement datum,ion channel activity,,,
OBI:0000470,FALSE,,mass spectrometry assay,,,,,,An assay that identifies the amount and type of material entities present in a sample by fragmenting it and measuring the mass-to-charge ratio of the resulting particles.,Philippe Rocca-Serra,"Identification of a proteins cut out from a 2D gel by cleaving it into peptides using trypsin digestion using electrospray ionizatino to ensure the peptides are charged, and accelerating them with an electro magnetic field in which the flight path is determined by the mass / charge ratio of the peptides. Comparing the mass/charge ratio of peptides in the proteins with databases of protein sequences allows to identify which protein gave rise to the peptides.",,,Philippe Rocca-Serra,,subclass,,assay,,,,,,,mass spectrometer  (using has_specified_input),,,,,,Specify the function realized in the assay,assay and ((realizes some (function and ('inheres in' some 'mass spectrometer'))) and (has_specified_input some 'mass spectrometer'))
